MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Failed_Retrieval_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time,Delay
3/7/2025 9:52:40,1.17.0,certainty,2,4.03,nan,1,Right,LeftANDRight,0,1,0,0,0,nan,nan,390,nan
3/7/2025 9:53:13,1.17.0,certainty,2,4.03,1,1,Pellet,LeftANDRight,0,1,0,1,0,16.99,nan,nan,15
3/7/2025 9:53:20,1.17.0,certainty,2,4.03,nan,1,Left,LeftANDRight,1,1,0,1,0,nan,nan,604,nan
3/7/2025 9:54:31,1.17.0,certainty,2,4.04,1,1,Pellet,LeftANDRight,1,1,0,2,0,54.96,78,nan,15
3/7/2025 9:55:26,1.17.0,certainty,2,4.04,nan,1,Right,LeftANDRight,1,2,0,2,0,nan,nan,185,nan
3/7/2025 9:55:42,1.17.0,certainty,2,4.04,1,1,Pellet,LeftANDRight,1,2,0,3,0,0.06,71,nan,15
3/7/2025 9:59:06,1.17.0,certainty,2,4.03,nan,1,Right,LeftANDRight,1,3,0,3,0,nan,nan,25,nan
3/7/2025 9:59:15,1.17.0,certainty,2,4.04,nan,1,RightinTimeout,LeftANDRight,1,4,0,3,0,nan,nan,0,nan
3/7/2025 9:59:24,1.17.0,certainty,2,4.03,2,1,Pellet,LeftANDRight,1,4,0,4,0,0.06,222,nan,15
3/7/2025 10:01:32,1.17.0,certainty,2,4.03,nan,1,Left,LeftANDRight,2,4,0,4,0,nan,nan,321,nan
3/7/2025 10:01:48,1.17.0,certainty,2,4.03,1,1,Pellet,LeftANDRight,2,4,0,5,0,0.06,144,nan,15
3/7/2025 10:02:30,1.17.0,certainty,2,4.03,nan,1,Right,LeftANDRight,2,5,0,5,0,nan,nan,104,nan
3/7/2025 10:02:46,1.17.0,certainty,2,4.04,1,1,Pellet,LeftANDRight,2,5,0,6,0,0.30,58,nan,15
3/7/2025 10:53:43,1.17.0,certainty,2,4.04,nan,1,Right,LeftANDRight,2,6,0,6,0,nan,nan,549,nan
3/7/2025 10:53:59,1.17.0,certainty,2,4.03,1,1,Pellet,LeftANDRight,2,6,0,7,0,0.48,3073,nan,15
3/7/2025 12:44:06,1.17.0,certainty,2,4.03,nan,1,Left,LeftANDRight,3,6,0,7,0,nan,nan,95,nan
3/7/2025 12:44:22,1.17.0,certainty,2,4.03,1,1,Pellet,LeftANDRight,3,6,0,8,0,0.42,6623,nan,15
3/7/2025 14:56:27,1.17.0,certainty,2,4.03,nan,1,Left,LeftANDRight,4,6,0,8,0,nan,nan,128,nan
3/7/2025 14:56:43,1.17.0,certainty,2,4.03,1,1,Pellet,LeftANDRight,4,6,0,9,0,0.06,7941,nan,15
3/7/2025 14:58:08,1.17.0,certainty,2,4.03,nan,1,Right,LeftANDRight,4,7,0,9,0,nan,nan,68,nan
3/7/2025 14:58:24,1.17.0,certainty,2,4.03,1,1,Pellet,LeftANDRight,4,7,0,10,0,0.36,101,nan,15
3/7/2025 15:00:44,1.17.0,certainty,2,4.03,nan,1,Right,LeftANDRight,4,8,0,10,0,nan,nan,24,nan
3/7/2025 15:00:45,1.17.0,certainty,2,4.03,nan,1,RightinTimeout,LeftANDRight,4,9,0,10,0,nan,nan,0,nan
3/7/2025 15:01:00,1.17.0,certainty,2,4.03,1,1,Pellet,LeftANDRight,4,9,0,11,0,0.06,156,nan,15
3/7/2025 16:53:42,1.17.0,certainty,2,4.03,nan,1,Right,LeftANDRight,4,10,0,11,0,nan,nan,42,nan
3/7/2025 16:53:58,1.17.0,certainty,2,4.02,1,1,Pellet,LeftANDRight,4,10,0,12,0,0.24,6778,nan,15
3/7/2025 16:57:09,1.17.0,certainty,2,4.03,nan,1,Right,LeftANDRight,4,11,0,12,0,nan,nan,65,nan
3/7/2025 16:57:25,1.17.0,certainty,2,4.03,1,1,Pellet,LeftANDRight,4,11,0,13,0,0.36,207,nan,15
3/7/2025 16:58:13,1.17.0,certainty,2,4.03,nan,1,Right,LeftANDRight,4,12,0,13,0,nan,nan,68,nan
3/7/2025 16:58:14,1.17.0,certainty,2,4.03,nan,1,RightinTimeout,LeftANDRight,4,13,0,13,0,nan,nan,0,nan
3/7/2025 16:58:40,1.17.0,certainty,2,4.03,6,1,Pellet,LeftANDRight,4,13,0,14,0,0.30,75,nan,15
3/7/2025 17:00:20,1.17.0,certainty,2,4.03,nan,1,Left,LeftANDRight,5,13,0,14,0,nan,nan,176,nan
3/7/2025 17:00:36,1.17.0,certainty,2,4.03,2,1,Pellet,LeftANDRight,5,13,0,15,0,0.06,116,nan,15
3/7/2025 18:36:37,1.17.0,certainty,2,4.03,nan,1,Right,LeftANDRight,5,14,0,15,0,nan,nan,0,nan
3/7/2025 18:36:38,1.17.0,certainty,2,4.03,nan,1,LeftinTimeOut,LeftANDRight,6,14,0,15,0,nan,nan,nan,nan
3/7/2025 18:36:53,1.17.0,certainty,2,4.03,2,1,Pellet,LeftANDRight,6,14,0,16,0,0.67,5777,nan,15
3/7/2025 18:37:12,1.17.0,certainty,2,4.03,nan,1,Right,LeftANDRight,6,15,0,16,0,nan,nan,316,nan
3/7/2025 18:37:30,1.17.0,certainty,2,4.03,2,1,Pellet,LeftANDRight,6,15,0,17,0,0.06,37,nan,15
3/7/2025 19:32:10,1.17.0,certainty,2,4.03,nan,1,Right,LeftANDRight,6,16,0,17,0,nan,nan,79,nan
3/7/2025 19:32:26,1.17.0,certainty,2,4.03,2,1,Pellet,LeftANDRight,6,16,0,18,0,0.06,3296,nan,15
3/7/2025 19:33:11,1.17.0,certainty,2,4.03,nan,1,Left,LeftANDRight,7,16,0,18,0,nan,nan,66,nan
3/7/2025 19:33:29,1.17.0,certainty,2,4.03,1,1,Pellet,LeftANDRight,7,16,0,19,0,1.89,63,nan,15
3/7/2025 19:34:13,1.17.0,certainty,2,4.03,nan,1,Right,LeftANDRight,7,17,0,19,0,nan,nan,19,nan
3/7/2025 19:34:29,1.17.0,certainty,2,4.03,2,1,Pellet,LeftANDRight,7,17,0,20,0,0.06,60,nan,15
3/7/2025 20:06:45,1.17.0,certainty,2,4.03,nan,1,Left,LeftANDRight,8,17,0,20,0,nan,nan,195,nan
3/7/2025 20:07:03,1.17.0,certainty,2,4.03,1,1,Pellet,LeftANDRight,8,17,0,21,0,2.01,1954,nan,15
3/7/2025 20:17:08,1.17.0,certainty,2,4.03,nan,1,Right,LeftANDRight,8,18,0,21,0,nan,nan,265,nan
3/7/2025 20:17:26,1.17.0,certainty,2,4.03,1,1,Pellet,LeftANDRight,8,18,0,22,0,2.08,623,nan,15
3/7/2025 20:18:06,1.17.0,certainty,2,4.03,nan,1,Left,LeftANDRight,9,18,0,22,0,nan,nan,153,nan
3/7/2025 20:18:22,1.17.0,certainty,2,4.03,1,1,Pellet,LeftANDRight,9,18,0,23,0,0.06,56,nan,15
3/7/2025 20:19:53,1.17.0,certainty,2,4.03,nan,1,Right,LeftANDRight,9,19,0,23,0,nan,nan,23,nan
3/7/2025 20:20:12,1.17.0,certainty,2,4.03,1,1,Pellet,LeftANDRight,9,19,0,24,0,3.86,110,nan,15
3/7/2025 20:21:09,1.17.0,certainty,2,4.03,nan,1,Right,LeftANDRight,9,20,0,24,0,nan,nan,18,nan
3/7/2025 20:21:28,1.17.0,certainty,2,4.03,1,1,Pellet,LeftANDRight,9,20,0,25,0,3.24,76,nan,15
3/7/2025 20:29:29,1.17.0,certainty,2,4.03,nan,1,Right,LeftANDRight,9,21,0,25,0,nan,nan,1,nan
3/7/2025 20:29:45,1.17.0,certainty,2,4.03,1,1,Pellet,LeftANDRight,9,21,0,26,0,0.06,497,nan,15
3/7/2025 20:33:08,1.17.0,certainty,2,4.03,nan,1,Left,LeftANDRight,10,21,0,26,0,nan,nan,58,nan
3/7/2025 20:33:24,1.17.0,certainty,2,4.03,1,1,Pellet,LeftANDRight,10,21,0,27,0,0.42,219,nan,15
3/7/2025 20:34:03,1.17.0,certainty,2,4.03,nan,1,Right,LeftANDRight,10,22,0,27,0,nan,nan,55,nan
3/7/2025 20:34:19,1.17.0,certainty,2,4.02,1,1,Pellet,LeftANDRight,10,22,0,28,0,0.06,55,nan,15
3/7/2025 20:38:12,1.17.0,certainty,2,4.03,nan,1,Left,LeftANDRight,11,22,0,28,0,nan,nan,63,nan
3/7/2025 20:38:28,1.17.0,certainty,2,4.03,1,1,Pellet,LeftANDRight,11,22,0,29,0,0.06,249,nan,15
3/7/2025 20:38:59,1.17.0,certainty,2,4.03,nan,1,Left,LeftANDRight,12,22,0,29,0,nan,nan,18,nan
3/7/2025 20:39:15,1.17.0,certainty,2,4.03,1,1,Pellet,LeftANDRight,12,22,0,30,0,0.06,47,nan,15
3/7/2025 20:42:58,1.17.0,certainty,2,4.03,nan,1,Left,LeftANDRight,13,22,0,30,0,nan,nan,143,nan
3/7/2025 20:43:16,1.17.0,certainty,2,4.03,1,1,Pellet,LeftANDRight,13,22,0,31,0,2.26,241,nan,15
3/7/2025 20:44:44,1.17.0,certainty,2,4.03,nan,1,Right,LeftANDRight,13,23,0,31,0,nan,nan,10,nan
3/7/2025 20:44:46,1.17.0,certainty,2,4.03,nan,1,RightinTimeout,LeftANDRight,13,24,0,31,0,nan,nan,0,nan
3/7/2025 20:45:40,1.17.0,certainty,2,4.03,6,1,Pellet,LeftANDRight,13,24,0,32,0,29.75,144,nan,15
3/7/2025 20:51:57,1.17.0,certainty,2,4.03,nan,1,Right,LeftANDRight,13,25,0,32,0,nan,nan,46,nan
3/7/2025 20:52:15,1.17.0,certainty,2,4.03,2,1,Pellet,LeftANDRight,13,25,0,33,0,2.08,395,nan,15
3/7/2025 20:53:46,1.17.0,certainty,2,4.03,nan,1,Left,LeftANDRight,14,25,0,33,0,nan,nan,50,nan
3/7/2025 20:54:03,1.17.0,certainty,2,4.03,2,1,Pellet,LeftANDRight,14,25,0,34,0,1.65,108,nan,15
3/7/2025 20:54:38,1.17.0,certainty,2,4.03,nan,1,Left,LeftANDRight,15,25,0,34,0,nan,nan,37,nan
3/7/2025 20:54:59,1.17.0,certainty,2,4.03,1,1,Pellet,LeftANDRight,15,25,0,35,0,5.21,56,nan,15
3/7/2025 21:01:10,1.17.0,certainty,2,4.03,nan,1,Left,LeftANDRight,16,25,0,35,0,nan,nan,95,nan
3/7/2025 21:01:26,1.17.0,certainty,2,4.03,1,1,Pellet,LeftANDRight,16,25,0,36,0,0.36,387,nan,15
3/7/2025 21:23:01,1.17.0,certainty,2,4.03,nan,1,Right,LeftANDRight,16,26,0,36,0,nan,nan,69,nan
3/7/2025 21:23:19,1.17.0,certainty,2,4.03,1,1,Pellet,LeftANDRight,16,26,0,37,0,2.44,1313,nan,15
3/7/2025 21:24:41,1.17.0,certainty,2,4.03,nan,1,Right,LeftANDRight,16,27,0,37,0,nan,nan,138,nan
3/7/2025 21:24:59,1.17.0,certainty,2,4.02,1,1,Pellet,LeftANDRight,16,27,0,38,0,2.20,100,nan,15
3/7/2025 21:25:42,1.17.0,certainty,2,4.03,nan,1,Left,LeftANDRight,17,27,0,38,0,nan,nan,0,nan
3/7/2025 21:26:00,1.17.0,certainty,2,4.03,1,1,Pellet,LeftANDRight,17,27,0,39,0,2.26,61,nan,15
3/7/2025 21:29:15,1.17.0,certainty,2,4.03,nan,1,Right,LeftANDRight,17,28,0,39,0,nan,nan,80,nan
3/7/2025 21:29:31,1.17.0,certainty,2,4.03,1,1,Pellet,LeftANDRight,17,28,0,40,0,0.06,211,nan,15
3/7/2025 21:32:49,1.17.0,certainty,2,4.03,nan,1,Left,LeftANDRight,18,28,0,40,0,nan,nan,176,nan
3/7/2025 21:33:07,1.17.0,certainty,2,4.03,2,1,Pellet,LeftANDRight,18,28,0,41,0,0.18,216,nan,15
3/7/2025 21:33:55,1.17.0,certainty,2,4.02,nan,1,Left,LeftANDRight,19,28,0,41,0,nan,nan,0,nan
3/7/2025 21:34:11,1.17.0,certainty,2,4.03,1,1,Pellet,LeftANDRight,19,28,0,42,0,0.06,64,nan,15
3/7/2025 21:39:04,1.17.0,certainty,2,4.03,nan,1,Left,LeftANDRight,20,28,0,42,0,nan,nan,38,nan
3/7/2025 21:39:20,1.17.0,certainty,2,4.03,2,1,Pellet,LeftANDRight,20,28,0,43,0,0.42,309,nan,15
3/7/2025 21:39:59,1.17.0,certainty,2,4.03,nan,1,Left,LeftANDRight,21,28,0,43,0,nan,nan,174,nan
3/7/2025 21:40:15,1.17.0,certainty,2,4.03,1,1,Pellet,LeftANDRight,21,28,0,44,0,0.48,55,nan,15
3/7/2025 21:43:35,1.17.0,certainty,2,4.03,nan,1,Left,LeftANDRight,22,28,0,44,0,nan,nan,43,nan
3/7/2025 21:43:52,1.17.0,certainty,2,4.02,1,1,Pellet,LeftANDRight,22,28,0,45,0,1.46,217,nan,15
3/7/2025 21:45:33,1.17.0,certainty,2,4.03,nan,1,Left,LeftANDRight,23,28,0,45,0,nan,nan,28,nan
3/7/2025 21:45:52,1.17.0,certainty,2,4.03,1,1,Pellet,LeftANDRight,23,28,0,46,0,3.06,120,nan,15
3/7/2025 21:53:24,1.17.0,certainty,2,4.03,nan,1,Right,LeftANDRight,23,29,0,46,0,nan,nan,311,nan
3/7/2025 21:53:43,1.17.0,certainty,2,4.03,1,1,Pellet,LeftANDRight,23,29,0,47,0,2.81,471,nan,15
3/7/2025 21:54:48,1.17.0,certainty,2,4.03,nan,1,Left,LeftANDRight,24,29,0,47,0,nan,nan,54,nan
3/7/2025 21:55:07,1.17.0,certainty,2,4.03,2,1,Pellet,LeftANDRight,24,29,0,48,0,2.08,83,nan,15
3/7/2025 21:56:36,1.17.0,certainty,2,4.03,nan,1,Right,LeftANDRight,24,30,0,48,0,nan,nan,336,nan
3/7/2025 21:56:55,1.17.0,certainty,2,4.03,2,1,Pellet,LeftANDRight,24,30,0,49,0,2.14,109,nan,15
3/7/2025 22:04:01,1.17.0,certainty,2,4.03,nan,1,Left,LeftANDRight,25,30,0,49,0,nan,nan,191,nan
3/7/2025 22:04:18,1.17.0,certainty,2,4.03,2,1,Pellet,LeftANDRight,25,30,0,50,0,0.06,442,nan,15
3/7/2025 22:10:28,1.17.0,certainty,2,4.03,nan,1,Left,LeftANDRight,26,30,0,50,0,nan,nan,81,nan
3/7/2025 22:10:46,1.17.0,certainty,2,4.03,2,1,Pellet,LeftANDRight,26,30,0,51,0,2.08,389,nan,15
3/7/2025 22:20:05,1.17.0,certainty,2,4.03,nan,1,Right,LeftANDRight,26,31,0,51,0,nan,nan,116,nan
3/7/2025 22:20:25,1.17.0,certainty,2,4.03,2,1,Pellet,LeftANDRight,26,31,0,52,0,3.67,579,nan,15
3/7/2025 22:25:38,1.17.0,certainty,2,4.03,nan,1,Right,LeftANDRight,26,32,0,52,0,nan,nan,196,nan
3/7/2025 22:25:54,1.17.0,certainty,2,4.03,1,1,Pellet,LeftANDRight,26,32,0,53,0,0.06,329,nan,15
3/7/2025 22:26:51,1.17.0,certainty,2,4.03,nan,1,Right,LeftANDRight,26,33,0,53,0,nan,nan,178,nan
3/7/2025 22:27:10,1.17.0,certainty,2,4.03,1,1,Pellet,LeftANDRight,26,33,0,54,0,2.88,76,nan,15
3/7/2025 22:30:06,1.17.0,certainty,2,4.03,nan,1,Right,LeftANDRight,26,34,0,54,0,nan,nan,326,nan
3/7/2025 22:30:25,1.17.0,certainty,2,4.03,2,1,Pellet,LeftANDRight,26,34,0,55,0,3.06,195,nan,15
3/7/2025 22:34:48,1.17.0,certainty,2,4.03,nan,1,Right,LeftANDRight,26,35,0,55,0,nan,nan,480,nan
3/7/2025 22:35:04,1.17.0,certainty,2,4.03,1,1,Pellet,LeftANDRight,26,35,0,56,0,0.36,279,nan,15
3/7/2025 22:35:32,1.17.0,certainty,2,4.03,nan,1,Right,LeftANDRight,26,36,0,56,0,nan,nan,84,nan
3/7/2025 22:35:48,1.17.0,certainty,2,4.03,1,1,Pellet,LeftANDRight,26,36,0,57,0,0.24,44,nan,15
3/7/2025 22:45:39,1.17.0,certainty,2,4.03,nan,1,Left,LeftANDRight,27,36,0,57,0,nan,nan,108,nan
3/7/2025 22:46:00,1.17.0,certainty,2,4.03,1,1,Pellet,LeftANDRight,27,36,0,58,0,5.64,612,nan,15
3/7/2025 22:51:00,1.17.0,certainty,2,4.03,nan,1,Right,LeftANDRight,27,37,0,58,0,nan,nan,527,nan
3/7/2025 22:51:19,1.17.0,certainty,2,4.03,1,1,Pellet,LeftANDRight,27,37,0,59,0,3.43,319,nan,15
3/7/2025 22:56:01,1.17.0,certainty,2,4.03,nan,1,Right,LeftANDRight,27,38,0,59,0,nan,nan,26,nan
3/7/2025 22:56:17,1.17.0,certainty,2,4.03,1,1,Pellet,LeftANDRight,27,38,0,60,0,0.06,298,nan,15
3/7/2025 22:59:44,1.17.0,certainty,2,4.03,nan,1,Right,LeftANDRight,27,39,0,60,0,nan,nan,35,nan
3/7/2025 23:00:00,1.17.0,certainty,2,4.03,1,1,Pellet,LeftANDRight,27,39,0,61,0,0.06,222,nan,15
3/7/2025 23:02:56,1.17.0,certainty,2,4.03,nan,1,Left,LeftANDRight,28,39,0,61,0,nan,nan,844,nan
3/7/2025 23:02:56,1.17.0,certainty,2,4.03,nan,1,LeftinTimeOut,LeftANDRight,29,39,0,61,0,nan,nan,nan,nan
3/7/2025 23:02:58,1.17.0,certainty,2,4.03,nan,1,LeftinTimeOut,LeftANDRight,30,39,0,61,0,nan,nan,nan,nan
3/7/2025 23:03:12,1.17.0,certainty,2,4.03,1,1,Pellet,LeftANDRight,30,39,0,62,0,0.79,193,nan,15
3/7/2025 23:04:19,1.17.0,certainty,2,4.03,nan,1,Right,LeftANDRight,30,40,0,62,0,nan,nan,34,nan
3/7/2025 23:04:35,1.17.0,certainty,2,4.03,1,1,Pellet,LeftANDRight,30,40,0,63,0,0.30,83,nan,15
3/7/2025 23:05:41,1.17.0,certainty,2,4.03,nan,1,Right,LeftANDRight,30,41,0,63,0,nan,nan,219,nan
3/7/2025 23:06:01,1.17.0,certainty,2,4.03,1,1,Pellet,LeftANDRight,30,41,0,64,0,4.10,86,nan,15
3/7/2025 23:41:36,1.17.0,certainty,2,4.03,nan,1,Right,LeftANDRight,30,42,0,64,0,nan,nan,48,nan
3/7/2025 23:41:54,1.17.0,certainty,2,4.03,1,1,Pellet,LeftANDRight,30,42,0,65,0,2.08,2153,nan,15
3/7/2025 23:43:25,1.17.0,certainty,2,4.03,nan,1,Right,LeftANDRight,30,43,0,65,0,nan,nan,92,nan
3/7/2025 23:43:43,1.17.0,certainty,2,4.03,1,1,Pellet,LeftANDRight,30,43,0,66,0,1.34,109,nan,15
3/7/2025 23:47:56,1.17.0,certainty,2,4.02,nan,1,Left,LeftANDRight,31,43,0,66,0,nan,nan,46,nan
3/7/2025 23:48:15,1.17.0,certainty,2,4.03,1,1,Pellet,LeftANDRight,31,43,0,67,0,3.24,272,nan,15
3/7/2025 23:53:24,1.17.0,certainty,2,4.03,nan,1,Left,LeftANDRight,32,43,0,67,0,nan,nan,81,nan
3/7/2025 23:53:44,1.17.0,certainty,2,4.03,1,1,Pellet,LeftANDRight,32,43,0,68,0,3.73,329,nan,15
3/7/2025 23:57:07,1.17.0,certainty,2,4.03,nan,1,Left,LeftANDRight,33,43,0,68,0,nan,nan,22,nan
3/7/2025 23:57:24,1.17.0,certainty,2,4.02,1,1,Pellet,LeftANDRight,33,43,0,69,0,1.10,220,nan,15
3/8/2025 0:00:13,1.17.0,certainty,2,4.03,nan,1,Left,LeftANDRight,34,43,0,69,0,nan,nan,19,nan
3/8/2025 0:00:32,1.17.0,certainty,2,4.03,1,1,Pellet,LeftANDRight,34,43,0,70,0,3.00,188,nan,15
3/8/2025 0:03:43,1.17.0,certainty,2,4.03,nan,1,Right,LeftANDRight,34,44,0,70,0,nan,nan,9,nan
3/8/2025 0:04:01,1.17.0,certainty,2,4.03,1,1,Pellet,LeftANDRight,34,44,0,71,0,1.77,209,nan,15
3/8/2025 0:05:35,1.17.0,certainty,2,4.02,nan,1,Right,LeftANDRight,34,45,0,71,0,nan,nan,70,nan
3/8/2025 0:05:51,1.17.0,certainty,2,4.03,1,1,Pellet,LeftANDRight,34,45,0,72,0,0.30,110,nan,15
3/8/2025 0:06:30,1.17.0,certainty,2,4.03,nan,1,Left,LeftANDRight,35,45,0,72,0,nan,nan,377,nan
3/8/2025 0:06:46,1.17.0,certainty,2,4.03,1,1,Pellet,LeftANDRight,35,45,0,73,0,0.55,55,nan,15
3/8/2025 0:15:18,1.17.0,certainty,2,4.03,nan,1,Right,LeftANDRight,35,46,0,73,0,nan,nan,12,nan
3/8/2025 0:15:36,1.17.0,certainty,2,4.03,1,1,Pellet,LeftANDRight,35,46,0,74,0,1.46,530,nan,15
3/8/2025 0:18:02,1.17.0,certainty,2,4.03,nan,1,Right,LeftANDRight,35,47,0,74,0,nan,nan,18,nan
3/8/2025 0:18:18,1.17.0,certainty,2,4.03,2,1,Pellet,LeftANDRight,35,47,0,75,0,0.06,162,nan,15
3/8/2025 0:24:53,1.17.0,certainty,2,4.03,nan,1,Right,LeftANDRight,35,48,0,75,0,nan,nan,84,nan
3/8/2025 0:25:14,1.17.0,certainty,2,4.03,2,1,Pellet,LeftANDRight,35,48,0,76,0,2.88,416,nan,15
3/8/2025 0:26:17,1.17.0,certainty,2,4.03,nan,1,Left,LeftANDRight,36,48,0,76,0,nan,nan,123,nan
3/8/2025 0:26:33,1.17.0,certainty,2,4.03,1,1,Pellet,LeftANDRight,36,48,0,77,0,0.06,79,nan,15
3/8/2025 0:38:54,1.17.0,certainty,2,4.03,nan,1,Left,LeftANDRight,37,48,0,77,0,nan,nan,37,nan
3/8/2025 0:39:15,1.17.0,certainty,2,4.03,1,1,Pellet,LeftANDRight,37,48,0,78,0,5.02,762,nan,15
3/8/2025 0:40:59,1.17.0,certainty,2,4.03,nan,1,Right,LeftANDRight,37,49,0,78,0,nan,nan,26,nan
3/8/2025 0:41:15,1.17.0,certainty,2,4.02,1,1,Pellet,LeftANDRight,37,49,0,79,0,0.06,120,nan,15
3/8/2025 0:46:23,1.17.0,certainty,2,4.02,nan,1,Left,LeftANDRight,38,49,0,79,0,nan,nan,162,nan
3/8/2025 0:46:46,1.17.0,certainty,2,4.02,1,1,Pellet,LeftANDRight,38,49,0,80,0,6.99,331,nan,15
3/8/2025 1:05:33,1.17.0,certainty,2,4.03,nan,1,Right,LeftANDRight,38,50,0,80,0,nan,nan,213,nan
3/8/2025 1:05:51,1.17.0,certainty,2,4.03,1,1,Pellet,LeftANDRight,38,50,0,81,0,2.14,1145,nan,15
3/8/2025 1:13:24,1.17.0,certainty,2,4.02,nan,1,Right,LeftANDRight,38,51,0,81,0,nan,nan,30,nan
3/8/2025 1:13:25,1.17.0,certainty,2,4.03,nan,1,RightinTimeout,LeftANDRight,38,52,0,81,0,nan,nan,0,nan
3/8/2025 1:13:25,1.17.0,certainty,2,4.03,nan,1,RightinTimeout,LeftANDRight,38,52,0,81,0,nan,nan,295,nan
3/8/2025 1:13:43,1.17.0,certainty,2,4.02,2,1,Pellet,LeftANDRight,38,52,0,82,0,0.06,472,nan,15
3/8/2025 1:15:34,1.17.0,certainty,2,4.03,nan,1,Right,LeftANDRight,38,53,0,82,0,nan,nan,0,nan
3/8/2025 1:15:51,1.17.0,certainty,2,4.02,1,1,Pellet,LeftANDRight,38,53,0,83,0,1.40,128,nan,15
3/8/2025 1:18:17,1.17.0,certainty,2,4.02,nan,1,Right,LeftANDRight,38,54,0,83,0,nan,nan,58,nan
3/8/2025 1:18:33,1.17.0,certainty,2,4.02,1,1,Pellet,LeftANDRight,38,54,0,84,0,0.06,162,nan,15
3/8/2025 1:25:07,1.17.0,certainty,2,4.03,nan,1,Left,LeftANDRight,39,54,0,84,0,nan,nan,149,nan
3/8/2025 1:25:26,1.17.0,certainty,2,4.02,1,1,Pellet,LeftANDRight,39,54,0,85,0,2.87,413,nan,15
3/8/2025 2:18:40,1.17.0,certainty,2,4.03,nan,1,Right,LeftANDRight,39,55,0,85,0,nan,nan,264,nan
3/8/2025 2:18:57,1.17.0,certainty,2,4.02,1,1,Pellet,LeftANDRight,39,55,0,86,0,1.40,3211,nan,15
3/8/2025 2:19:37,1.17.0,certainty,2,4.02,nan,1,Left,LeftANDRight,40,55,0,86,0,nan,nan,110,nan
3/8/2025 2:19:54,1.17.0,certainty,2,4.03,2,1,Pellet,LeftANDRight,40,55,0,87,0,0.06,57,nan,15
3/8/2025 2:41:23,1.17.0,certainty,2,4.02,nan,1,Right,LeftANDRight,40,56,0,87,0,nan,nan,36,nan
3/8/2025 2:41:23,1.17.0,certainty,2,4.02,nan,1,LeftinTimeOut,LeftANDRight,41,56,0,87,0,nan,nan,nan,nan
3/8/2025 2:41:38,1.17.0,certainty,2,4.03,1,1,Pellet,LeftANDRight,41,56,0,88,0,0.06,1304,nan,15
3/8/2025 2:46:57,1.17.0,certainty,2,4.03,nan,1,Left,LeftANDRight,42,56,0,88,0,nan,nan,147,nan
3/8/2025 2:47:15,1.17.0,certainty,2,4.03,1,1,Pellet,LeftANDRight,42,56,0,89,0,1.71,337,nan,15
3/8/2025 2:57:53,1.17.0,certainty,2,4.02,nan,1,Right,LeftANDRight,42,57,0,89,0,nan,nan,250,nan
3/8/2025 2:58:09,1.17.0,certainty,2,4.02,1,1,Pellet,LeftANDRight,42,57,0,90,0,0.06,654,nan,15
3/8/2025 3:04:56,1.17.0,certainty,2,4.03,nan,1,Right,LeftANDRight,42,58,0,90,0,nan,nan,36,nan
3/8/2025 3:05:17,1.17.0,certainty,2,4.02,1,1,Pellet,LeftANDRight,42,58,0,91,0,4.47,428,nan,15
3/8/2025 3:42:04,1.17.0,certainty,2,4.02,nan,1,Right,LeftANDRight,42,59,0,91,0,nan,nan,540,nan
3/8/2025 3:42:23,1.17.0,certainty,2,4.03,1,1,Pellet,LeftANDRight,42,59,0,92,0,2.94,2226,nan,15
3/8/2025 3:46:17,1.17.0,certainty,2,4.02,nan,1,Right,LeftANDRight,42,60,0,92,0,nan,nan,0,nan
3/8/2025 3:46:35,1.17.0,certainty,2,4.02,2,1,Pellet,LeftANDRight,42,60,0,93,0,0.06,252,nan,15
3/8/2025 3:48:06,1.17.0,certainty,2,4.02,nan,1,Right,LeftANDRight,42,61,0,93,0,nan,nan,48,nan
3/8/2025 3:48:12,1.17.0,certainty,2,4.02,nan,1,RightinTimeout,LeftANDRight,42,62,0,93,0,nan,nan,0,nan
3/8/2025 3:48:13,1.17.0,certainty,2,4.02,nan,1,RightinTimeout,LeftANDRight,42,62,0,93,0,nan,nan,296,nan
3/8/2025 3:48:16,1.17.0,certainty,2,4.02,nan,1,RightinTimeout,LeftANDRight,42,63,0,93,0,nan,nan,0,nan
3/8/2025 3:48:22,1.17.0,certainty,2,4.02,1,1,Pellet,LeftANDRight,42,63,0,94,0,0.06,106,nan,15
3/8/2025 3:52:37,1.17.0,certainty,2,4.03,nan,1,Left,LeftANDRight,43,63,0,94,0,nan,nan,157,nan
3/8/2025 3:52:55,1.17.0,certainty,2,4.02,2,1,Pellet,LeftANDRight,43,63,0,95,0,0.42,274,nan,15
3/8/2025 3:55:37,1.17.0,certainty,2,4.03,nan,1,Right,LeftANDRight,43,64,0,95,0,nan,nan,199,nan
3/8/2025 3:55:56,1.17.0,certainty,2,4.02,1,1,Pellet,LeftANDRight,43,64,0,96,0,2.38,181,nan,15
3/8/2025 4:00:32,1.17.0,certainty,2,4.02,nan,1,Right,LeftANDRight,43,65,0,96,0,nan,nan,0,nan
3/8/2025 4:00:50,1.17.0,certainty,2,4.03,1,1,Pellet,LeftANDRight,43,65,0,97,0,1.89,294,nan,15
